GOODWORLD.EBIMAYO.0	GOODWORLD	EBIMAYO	EBIMAYO	105.82599639892578	123.46299743652344	阿爽	StupiGGy	StupiGGy vs. 阿爽	
GOODFORTUNE.EBIMAYO.0	GOODFORTUNE	EBIMAYO	Ctymax	102.70500183105469	117.70500183105469	晨	晨	晨	
GOODRAGE.EBIMAYO.0	GOODRAGE	EBIMAYO	Ctymax feat. EBIMAYO	90.80999755859375	109.18000030517578	阿爽	阿爽	Ctymax vs. 阿爽	
TheMountainEater.PaulBazooka.0	The Mountain Eater	Paul Bazooka	START SEED	18.89699935913086	33.89699935913086	百九十八	百九十八	百九十八	
Orthodox.tokiwa.0	Orthodox	tokiwa	cycats	55.44300079345703	70.44300079345703	StR-1	StR-1	Uvernight fixed by StR-1	
EndMe.ZxNXasDelaina.0	End Me	ZxNX as "Delaina"	何呵	66.0	86.0	鲲	鲲	鲲 fixed by 百九十八	
ParallelRetrogressionGameVer.Tetrajectory.0	Parallel Retrogression(Game Ver.)	Tetrajectory	青鸟	55.29999923706055	75.30000305175781	HaraKuma	HaraKuma	HaraKuma	
Starduster.Quree.0	Starduster	Quree	IvyTowers	63.29999923706055	80.69999694824219	NerSAN	NerSAN	NerSAN	
Electron.ElousFZ.0	Electron	ElousΛ.-FZ	DoublePian	48.0	58.0	百九十八	百九十八	百九十八	
SIGMA.Kryexe.0	SIGMA	Kry.exe	塔塔	42.2400016784668	62.720001220703125	Barbarianerman.exe	Bσrbσriσnermσn.exe	Bσrbσriσn∑rmσn.∑x∑	
HardcoreKwaya.EnFr.0	Hardcore Kwaya	EnFr	EnFr	78.5	91.5	One skunk (Ctymax) in Africa	Hardcore Barbaya	Two skunks (Ctymax and 晨) in Africa shouting WAHHHHHH!	
Aventyr.GrandThawRigelTheatre.0	Äventyr	Grand Thaw / Rigël Theatre	Grand Thaw / Rigël Theatre	9.199999809265137	31.076000213623047	Barbarianerman	Snorkel	Barbarianerman vs. Snorkel	
Trane.MALVA.0	Träne	MALVA.	しえろ	3.200000047683716	25.24799919128418	Barbarianerman	Barbarianerman	Barbarianerman	
雪降りメリクリ.A39.0	雪降り、メリクリ	A-39	犀牛坨动画工坊	20.663999557495117	42.0099983215332	Merry xmAS	Merry ChristymAxS	N\erry Xmas	
CervelleConnexion.SCTL.0	Cervelle Connexion	SCTL	SCTL	99.29499816894531	114.51399993896484	Eastern Ailuropoda Gang	Eastern Ailuropoda Gang	Eastern Ailuropoda Gang	
modulus.PTB10.0	modulus	PTB10	geralt	86.0	101.0	Cty moyules	Cty moyules	Pat Brick Man Mr.C	
Wavetapper.Frums.0	Wavetapper	Frums	百九十八	2.1389999389648438	19.297000885009766	Sillyp	Sillyp	百九十八 vs. Barbarianerman	
大和撫子WildDances.adapatorvsDRIVE.0	大和撫子 -Wild Dances-	adaptor vs DRIVE.	りゅうら	62.0099983215332	79.01100158691406	Eaimo fixed by NerSAN	Eaimo fixed by NerSAN	Eaimo vs. CtyNer dancing wildly	
Eltaw.Fl00t.0	Eltaw	Fl00t	xperz	90.01499938964844	110.0510025024414	JKy	JKy	BarbariaNERman vs. JKy	
Initialize.iF.0	Initialize	iF	あおお/A-ZERO, morph	15.005000114440918	31.889999389648438	阿爽	NerSAN	Arenn Saki vs. NerSAN	
桜樹街道.kozatosnow.0	桜樹街道	kozato snow	あおお/A-ZERO, morph	107.55500030517578	122.55500030517578	Barbarianerman	Barbarianerman	百九十八	
GetReady.iF.0	Get Ready!! 	iF	あおお/A-ZERO, morph	96.33799743652344	109.85900115966797	StupiGGy	StupiGGy	StupiGGy	
volcanic.DETROakaルゼ.0	volcanic	DETRO a.k.a. ルゼ	あおお/A-ZERO, morph	111.83200073242188	131.93699645996094	Barbarianerman	Rikko	Ctymax in a volcano, very delicious	Alloces
BetterGraphicAnimation.ルゼ.0	Better Graphic Animation	ルゼ	A-Zero Project	44.0	62.7140007019043	NerSAN	NerSAN	縱連打の信者☆無極	
XING.ginkiha.0	XING	ginkiha	打雷打人（青鸟 modified）	85.08799743652344	107.12200164794922	StupiGGy	StupiGGy	Sillyp vs. 阿爽	
FinalStep.Lime.0	Final Step!	Lime	谷地（青鸟 modified）	110.66000366210938	134.0	Barbarianerman	Barbarianerman	Barbarianerman vs. Uvernight	
Cthugha.USAO.0	Cthugha	USAO	谷地（青鸟 modified）	56.9010009765625	79.43599700927734	Barbarianerman	Barbarianerman	Gausbon	百九十八 feat. NerSAN
WithYou.Cashew.0	With You	Cashew	ADZUKI	109.0999984741211	127.0999984741211	with U	with U	with U	
UnorthodoxThoughts.Joulez.0	Unorthodox Thoughts	Joulez	ASXX	108.0	126.57499694824219	Barbarianerman	HaraKuma	Barbarianerman vs. HaraKuma	
Apocalyptic.ZClaxxSumaiLight.0	Apocalyptic	Z ClaxX & SumaiLight	佑木いずみ & Ctymax	106.74500274658203	119.5469970703125	阿爽	NerSAN	NerSAN vs. 阿爽	
游园地.椒盐菠萝.0	游园地	椒盐菠萝	CEM	76.81500244140625	93.75	野从菠萝	野从菠萝	椒盐倪尔	
energytrixxx.KAH.0	energy trixxx	KAH	手鞠鈴 & 自動車 原付	96.0	111.0	NerSAN	NerSANN	NerSANNN	
Nhelv.Silentroom.0	Nhelv	Silentroom	駿	67.01399993896484	82.01399993896484	野从	StupiGGy	森德雷斯 vs. 百九十八	
Arkhei.SeraAmagi.0	-Arkhei-	Sera Amagi	Hachimitsu☆Boy	64.0	80.0	-JKy-	-JKy-	-JKy-	
Kerberos.Zris.0	Kerberos	Zris	Eridani	99.89800262451172	115.0	Alloces	NerSAN	Snorkel vs. NerSAN	
parsey.siqlo.0	ρars/ey	siqlo	出前 x nekomiya	21.33300018310547	45.33300018310547	Rikko	Rikko & TangScend	TangScend	
Concvssion.Halv.0	Concvssion	Halv	汉堡	96.0199966430664	117.48200225830078	J.R	晨	Phigros Charting Team	
ジングルベルJingleBell.A39沙包P.0	ジングルベル(Jingle Bell)	A-39/沙包P	爱39的Konya	23.31399917602539	43.8849983215332	merry CNrisTimas	merry XM AS	NerSANTA vs. BarbarianerSLEDGE	
TimetoNightSkyfeatLeeYuJin.HyuNKLYDIX.0	Time to Night Sky (feat. Lee Yu Jin)	HyuN & KLYDIX	ZG	61.875999450683594	78.74500274658203	Rikko	Barbarianerman	Likey & 198ar	
HAZARD.Limpid.0	HAZARD	Limpid	ZG	28.132999420166016	46.888999938964844	NerSAN	NerSAN	阿爽	
AnotherMe.DAAN.0	Another Me	D_AAN	ZG	24.0	42.28499984741211	Pcat	Another cat	NerSAN vs. Ctymax as "泥头鱼"	
DontNeverAround.HAMA.0	Don't Never Around	HAMA	Arahosi	87.77100372314453	110.11399841308594	XMT小咩兔	XMT小咩兔	XMT小咩兔	
RESSiSTANCE.ぐるたみん.0	RESSiSTANCE	ぐるたみん	LINUS	52.68199920654297	81.95099639892578	其一 呼吸尚存的标志	其二 向前迈进的理由	其三 我所存在的证明	
Dreamland.z1onkyrrin.0	Dreamland	z1on & kyrrin	海产	113.5	128.5	Bear	Bear	XMT & 198	
AnotherRound.JustinDai.0	Another Round	Justin Dai	艾是Abby	46.64099884033203	63.74300003051758	阿爽	Another Stage	TimiTini →"X"← 阿爽	
996.李化禹.0	996	李化禹	笔记RE	48.0	63.428001403808594	RTH	Likey	Barbarianerman & NerSAN in the ICU	
FutureMind.RayNauticaRekuMochizuki.0	Future Mind	Ray Nautica & Reku Mochizuki	Keiby.comics	65.34700012207031	85.35099792480469	Barbarianerman	XMT小咩兔	Future BarbarXMT	
Luminescent.Daison.0	Luminescent	Daison	鲸弑	97.44599914550781	112.76499938964844	Uvernight	Uvernight	百九十八	
FULiAUTOBUSTER.MYUKKE.0	FULi AUTO BUSTER	MYUKKE.	cycats	79.45099639892578	102.62000274658203	M3d1uM & 百九十八	M3d1uM & 百九十八	百九十八 busting 阿爽	
IMustSayNo.TangJuan.0	I Must Say No	TangJuan	cycats	26.055999755859375	49.400001525878906	Likey	JKy	Likey & 百九十八	
opia.rN.0	opia	rN	rN @ 湯元画伯	28.60099983215332	43.52299880981445	BlindForest	BlindForest 『Observing』	Jeitie & CorruptedEntity 『Hollow』	
Apocalypse.アリスシャッハと魔法の楽団.0	Apocalypse	アリスシャッハと魔法の楽団	Lanota © Noxy Games Inc. 	54.81800079345703	69.54499816894531	R.	B.	Rikko & 198	
Protoflicker.Silentroom.0	Protoflicker	Silentroom	Lanota © Noxy Games Inc. 	96.03199768066406	118.29499816894531	Barbarianerman & J.R	RTH	Gausbon	
HorizonBlue.NothingButRequiemfeatAikapinChiyoko.0	Horizon Blue	Nothing But Requiem feat. Aikapin & Chiyoko	Lanota © Noxy Games Inc. 	41.0989990234375	56.0989990234375	Nothing But Uvernight	Nothing But Likey	Nothing But Ner & Pcat	
YouaretheMiserable.tpazolite.0	You are the Miserable	t+pazolite	Lanota © Noxy Games Inc. 	117.7979965209961	131.04800415039062	M3d1uM	M3d1uM	We are the Miserable	Pat Brick Man Mr.C & Mr.B
Stasis.Maozon.0	Stasis	Maozon	Lanota © Noxy Games Inc. 	42.66600036621094	65.33300018310547	空の希	空の希	ST AS is XMT	百九十八
いざ参ります.Uskefeat棗いつき.0	いざ、参ります	U-ske feat. 棗いつき	緑風マルト	38.297000885009766	49.7869987487793	Clutter & Barbarianerman	Clutter & Barbarianerman	小咩兔、参上	
月下缭乱.月見静華vsLUNARiUM.0	月下缭乱	月見静華 vs. LUNARiUM	TNiK	70.62799835205078	87.77100372314453	XMT小咩兔	XMT小咩兔	iv	
OnAndOn.ETIAfeatJenga.0	On And On!!	ETIA. feat. Jenga	わっふゑ	11.286999702453613	24.356000900268555	Rikko	Rikko	NerSAN feat. Takanashi Rikko	
DataErr0r.Cosmograph.0	DataErr0r	Cosmograph	Photonskyto	52.0	72.0	[!!12:l<l<ο!!]	Rikko	TangScend -Err0rederci-	
Shadow.SumaiLightvs姜米條.0	Shadow	姜米條&SumaiLight	御坂果子	105.0	120.0	晨	晨	Sillyp vs. 晨	J0(_)I2|\|3y'5 3|\||)
心之所向.姜米條.0	心之所向	姜米條	笔记RE	46.66299819946289	69.33300018310547	波之所杂	波之所杂	倪之所爽	
inferior.姜米條.0	inferior	姜米條	群青kurara	20.100000381469727	39.599998474121094	Ner, the inferior	Ner, the inferior	JKy, the inferior	
csqn.Aoi.0	c.s.q.n.	Aoi	Ctymax vs. TNiK feat. 出前	88.44599914550781	106.20700073242188	b.b.n.m.	h.o.m.e.e.e.	s.t.p.g.	
BraveNotes.TurquoiseDRIVENota.0	Brave Notes	Turquoise(DRIVE.+Nota)	林语	45.0099983215332	60.180999755859375	Brave Eaimo	Brave Eaimo	Brave Eaimo	
盏茗.茶鸣拾贰律.0	盏茗	茶鸣拾贰律	茶鸣拾贰律	65.9540023803711	82.44200134277344	Barbarianerman	Barbarianerman	NerSAN sipping XMTea	
青芽.茶鸣拾贰律.0	青芽	茶鸣拾贰律	茶鸣拾贰律	106.87000274658203	126.66600036621094	生根发芽的小咩兔	逆流而上的小咩兔	Hook vs. _鉄	
EternalSnow.AbyssIdols.0	Eternal Snow	Abyss Idols	Sak	81.4280014038086	98.57099914550781	M3d1uM	M3d1uM	JKy	
RainySeason.AbyssIdols.0	Rainy Season	Abyss Idols	Robin	67.0	88.0	StupiGGy	StupiGGy	Raiky Season	
ElCondorPasaPhigrosEdit.PlasticFruits.0	El Condor Pasa (Phigros Edit)	Plastic Fruits	青鸟	76.80000305175781	91.19999694824219	TimiTini	TimiTini	XMT小咩兔	
BreakOver.Kforest.0	Break Over	K-forest	圆规compasses	83.3239974975586	103.3239974975586	Barbarianerman	Barbarianerman	百九十八 vs. Barbarianerman	百九十八
